epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,64682.6,1.18738,0.77421,0.99964,0.63568,0.53107,0.55798,0.35128,1.29535,0.95198,1.05686,0.000170052,0.000170052,0.000170052
166,65052,1.18552,0.77144,0.99957,0.63476,0.53101,0.55785,0.35121,1.29573,0.95213,1.057,0.000166312,0.000166312,0.000166312
167,65420.2,1.1868,0.77313,0.99996,0.63348,0.5309,0.55763,0.35096,1.29605,0.95235,1.05714,0.000162666,0.000162666,0.000162666
168,65789.1,1.18343,0.76738,0.99782,0.63403,0.52991,0.55747,0.35078,1.29636,0.95265,1.05727,0.000159116,0.000159116,0.000159116
169,66157.6,1.17867,0.76328,0.99563,0.63483,0.52834,0.55719,0.3507,1.29678,0.95296,1.05741,0.000155662,0.000155662,0.000155662
170,66524.7,1.18027,0.76447,0.99672,0.63451,0.52914,0.55707,0.35039,1.29705,0.95328,1.05751,0.000152305,0.000152305,0.000152305
171,66891.5,1.17778,0.76279,0.99702,0.63696,0.52619,0.55685,0.35024,1.29743,0.95357,1.05765,0.000149047,0.000149047,0.000149047
172,67257.8,1.17574,0.75931,0.99909,0.63649,0.52742,0.55671,0.35028,1.29771,0.9537,1.05773,0.000145888,0.000145888,0.000145888
173,67624.9,1.17734,0.75863,0.99554,0.63699,0.527,0.5566,0.35026,1.29798,0.95368,1.0578,0.000142828,0.000142828,0.000142828
174,67990.8,1.17629,0.7586,0.99611,0.63742,0.52531,0.55594,0.35011,1.29832,0.95374,1.05788,0.000139869,0.000139869,0.000139869
